Id Przystanku;Kierunek;Czas potrzebny na dojazd;Wspolrzedna x;Wspolrzedna y;Numer przystanku;Numer linii
3453;Abramowice;36;22.561572790146;51.232009067676;12;152;
4693;Abramowice;1;22.564335465431;51.231095402811;13;152;
3422;Abramowice;27;22.568350000000;51.231816670000;14;152;
4692;Abramowice;35;22.563643455506;51.231088684619;15;152;
3452;Abramowice;29;22.562463283539;51.232338251307;16;152;
3701;Abramowice;2;22.570875000000;51.233894440000;17;152;
3691;Abramowice;1;22.571565830689;51.231416718144;18;152;
3721;Abramowice;2;22.572838890000;51.226486110000;19;152;
3731;Abramowice;2;22.576486110000;51.221436110000;20;152;
3741;Abramowice;2;22.580133330000;51.216947220000;21;152;
3751;Abramowice;2;22.583613890000;51.212344440000;22;152;
3763;Abramowice;2;22.586419440000;51.206452780000;23;152;
3791;Abramowice;1;22.586013078690;51.203750964498;24;152;
3901;Abramowice;1;22.585858330000;51.201402780000;25;152;
3453;Abramowice;13;22.561572790146;51.232009067676;12;152;
4693;Abramowice;1;22.564335465431;51.231095402811;13;152;
4692;Abramowice;2;22.563643455506;51.231088684619;15;152;
3902;Os. Poręba;1;22.586138890000;51.201122220000;1;152;
3792;Os. Poręba;1;22.587053775788;51.205552474086;2;152;
3762;Os. Poręba;2;22.586138890000;51.208697220000;3;152;
3752;Os. Poręba;1;22.584175000000;51.211783330000;4;152;
3744;Os. Poręba;3;22.579852780000;51.217788890000;5;152;
3782;Os. Poręba;1;22.576834000000;51.221643000000;6;152;
3732;Os. Poręba;2;22.575745583000;51.222985832000;7;152;
3722;Os. Poręba;1;22.573400000000;51.225644440000;8;152;
3692;Os. Poręba;2;22.572323083878;51.229579092365;9;152;
3413;Os. Poręba;3;22.568042278290;51.234702929800;10;152;
3421;Os. Poręba;4;22.566947220000;51.231536110000;13;152;
3454;Os. Poręba;3;22.561229467392;51.232580099004;15;152;
5192;Os. Poręba;1;22.554910182953;51.237940729918;16;152;
5111;Os. Poręba;2;22.546800000000;51.236138890000;17;152;
5471;Os. Poręba;1;22.542014122010;51.234810412298;18;152;
5401;Os. Poręba;1;22.535858330000;51.235858330000;19;152;
5411;Os. Poręba;3;22.529011110000;51.236980560000;20;152;
5321;Os. Poręba;1;22.529011110000;51.234736110000;21;152;
